"CODNEG"	"DATE"	"RET"
"MAGG3"	"2015-11-19"	-0.010238907849829436
"MAGG3"	"2015-11-23"	-0.034246575342465786
"MAGG3"	"2015-11-24"	0.010638297872340514
"MAGG3"	"2015-11-25"	0.007067137809187285
"MAGG3"	"2015-11-26"	0.02473498233215542
"MAGG3"	"2015-11-27"	0.038461538461538575
"MAGG3"	"2015-11-30"	0.006779661016949158
"PNVL3"	"2015-11-03"	0.036074220589620405
"PNVL3"	"2015-11-04"	0.015909090909090907
"PNVL3"	"2015-11-05"	0.012681818181818145
"PNVL3"	"2015-11-06"	0.010375605998821947
"PNVL3"	"2015-11-09"	0.026726457399103176
"PNVL3"	"2015-11-10"	0.017424341674308837
"PNVL3"	"2015-11-11"	0.004335136063181472
"PNVL3"	"2015-11-12"	-0.03017241379310345
"PNVL3"	"2015-11-13"	0.012433392539964528
"PNVL3"	"2015-11-16"	0.013157894736842105
"PNVL3"	"2015-11-17"	4.3250724449595197e-5
"PNVL3"	"2015-11-18"	0.0
"PNVL3"	"2015-11-19"	0.004329004329004329
"PNVL3"	"2015-11-23"	0.0180911062906724
"PNVL3"	"2015-11-24"	0.029515229515229495
"PNVL3"	"2015-11-25"	0.07636285283344106
"PNVL3"	"2015-11-26"	-0.0004443008320543406
"PNVL3"	"2015-11-27"	-0.0459268415157016
"PNVL3"	"2015-11-30"	0.03687394542985299
"POSI3"	"2015-11-03"	0.020000000000000018
"POSI3"	"2015-11-04"	0.025974025974025997
"POSI3"	"2015-11-05"	0.012820512820512832
"POSI3"	"2015-11-06"	0.03846153846153849
"POSI3"	"2015-11-09"	-0.012345679012345689
"POSI3"	"2015-11-10"	0.037267080745341505
"POSI3"	"2015-11-11"	0.07185628742514977
"POSI3"	"2015-11-12"	-0.01657458563535913
"POSI3"	"2015-11-13"	0.005649717514124299
"POSI3"	"2015-11-16"	-0.027472527472527496
"POSI3"	"2015-11-17"	-0.03977272727272731
"POSI3"	"2015-11-18"	-0.041916167664670566
"POSI3"	"2015-11-19"	0.0310559006211179
"POSI3"	"2015-11-23"	0.024096385542168697
"POSI3"	"2015-11-24"	0.011834319526627229
"POSI3"	"2015-11-25"	-0.02941176470588238
"POSI3"	"2015-11-26"	0.03030303030303033
"POSI3"	"2015-11-27"	0.029585798816568074
"POSI3"	"2015-11-30"	-0.011627906976744196
"ROMI3"	"2015-11-03"	0.03910614525139668
"ROMI3"	"2015-11-04"	0.0578947368421052
"ROMI3"	"2015-11-05"	0.06965174129353241
"ROMI3"	"2015-11-06"	0.028037383177570117
"ROMI3"	"2015-11-09"	0.004545454545454448
"ROMI3"	"2015-11-10"	0.009090909090909097
"ROMI3"	"2015-11-11"	0.04072398190045243
"ROMI3"	"2015-11-12"	0.056034482758620836
"ROMI3"	"2015-11-13"	-0.0734693877551021
"ROMI3"	"2015-11-16"	-0.004385964912280609
"ROMI3"	"2015-11-17"	-0.008771929824561412
"ROMI3"	"2015-11-18"	0.008849557522123902
"ROMI3"	"2015-11-19"	-0.04385964912280686
"ROMI3"	"2015-11-23"	0.022831050228310626
"ROMI3"	"2015-11-24"	0.004566210045662206
"ROMI3"	"2015-11-25"	0.009132420091324209
"ROMI3"	"2015-11-26"	-0.0045248868778279576
"ROMI3"	"2015-11-27"	-0.0045871559633028575
"ROMI3"	"2015-11-30"	0.0
"VIVR3"	"2015-11-03"	0.0
"VIVR3"	"2015-11-04"	0.0
"VIVR3"	"2015-11-05"	0.3333333333333334
"VIVR3"	"2015-11-06"	0.3333333333333334
"VIVR3"	"2015-11-09"	0.3333333333333334
"VIVR3"	"2015-11-10"	0.3333333333333334
"VIVR3"	"2015-11-11"	0.3333333333333334
"VIVR3"	"2015-11-12"	-0.25000000000000006
"VIVR3"	"2015-11-13"	0.3333333333333334
"VIVR3"	"2015-11-16"	0.0
"VIVR3"	"2015-11-17"	-0.3333333333333333
"VIVR3"	"2015-11-18"	0.0
"VIVR3"	"2015-11-19"	0.0
"VIVR3"	"2015-11-23"	0.0
"VIVR3"	"2015-11-24"	-0.3333333333333333
"VIVR3"	"2015-11-25"	0.0
"VIVR3"	"2015-11-26"	0.0
"VIVR3"	"2015-11-27"	0.0
"VIVR3"	"2015-11-30"	0.4999999999999999
